Facilities,Clients,LP,MFN,OPT,LS,CFL-LP/OPT,Local Search/OPT,MFN-LP/OPT
5,10,878.0,878.0,878.0,878.0,1.0,1.0,1.0
5,10,822.0,844.0,844.0,844.0,0.9739336492890995,1.0,1.0
5,10,641.1428571428571,755.0,755.0,755.0,0.8491958372753075,1.0,1.0
5,10,671.6666666666666,741.0,741.0,741.0,0.9064327485380116,1.0,1.0
5,10,1010.8888888888889,1186.0,1186.0,1186.0,0.8523515083380176,1.0,1.0
5,10,699.8888888888889,971.0,971.0,971.0,0.7207918526147157,1.0,1.0
5,10,631.4444444444443,762.0,762.0,762.0,0.8286672499270923,1.0,1.0
5,10,700.5555555555555,784.0,784.0,784.0,0.8935657596371882,1.0,1.0
5,10,809.6,825.9230769230768,830.0,830.0,0.9754216867469879,1.0,0.9950880444856347
5,10,989.8888888888888,1093.0,1110.0,1110.0,0.8917917917917917,1.0,0.9846846846846847
5,10,656.4285714285716,706.5714285714286,713.0,713.0,0.9206571829292729,1.0,0.9909837707874173
5,10,857.0,857.0,857.0,857.0,1.0,1.0,1.0
5,10,626.1999999999999,642.0,642.0,642.0,0.9753894080996883,1.0,1.0
5,10,1011.6666666666667,1011.6666666666667,1015.0,1015.0,0.9967159277504106,1.0,0.9967159277504106
5,10,1111.7777777777778,1240.4117647058822,1266.0,1266.0,0.8781814990345796,1.0,0.9797881237803177
5,10,648.0,702.0,702.0,702.0,0.9230769230769231,1.0,1.0
5,10,797.0,797.0,797.0,797.0,1.0,1.0,1.0
5,10,821.5,821.5,907.0,907.0,0.9057331863285557,1.0,0.9057331863285557
5,10,828.8888888888888,931.0,931.0,931.0,0.8903210406969805,1.0,1.0
5,10,762.0,762.0,762.0,762.0,1.0,1.0,1.0
5,10,908.0,908.0,908.0,908.0,1.0,1.0,1.0
5,10,744.2222222222221,777.8,832.0,832.0,0.8944978632478631,1.0,0.9348557692307692
5,10,710.0,710.0,722.0,722.0,0.9833795013850416,1.0,0.9833795013850416
5,10,1247.4285714285716,1256.0,1256.0,1256.0,0.9931756141947226,1.0,1.0
5,10,662.0,772.0,772.0,772.0,0.8575129533678757,1.0,1.0
5,10,1087.0,1087.0,1087.0,1087.0,1.0,1.0,1.0
5,10,760.0,760.0,760.0,760.0,1.0,1.0,1.0
5,10,560.0,560.0,575.0,575.0,0.9739130434782609,1.0,0.9739130434782609
5,10,902.8000000000001,978.0,978.0,978.0,0.9231083844580777,1.0,1.0
5,10,1000.0,1000.0,1000.0,1000.0,1.0,1.0,1.0
5,10,1259.0,1259.0,1259.0,1259.0,1.0,1.0,1.0
5,10,710.0,710.0,710.0,710.0,1.0,1.0,1.0
5,10,895.0,895.0,895.0,895.0,1.0,1.0,1.0
5,10,587.0,587.0,587.0,587.0,1.0,1.0,1.0
5,10,672.0,672.0,683.0,683.0,0.9838945827232797,1.0,0.9838945827232797
5,10,683.6666666666666,797.0,797.0,889.0,0.8578000836470095,1.1154328732747805,1.0
5,10,972.2857142857143,1005.5,1039.0,1039.0,0.9357899078784546,1.0,0.9677574590952839
5,10,1482.0,1482.0,1482.0,1482.0,1.0,1.0,1.0
5,10,786.0,786.0,827.0,827.0,0.9504232164449818,1.0,0.9504232164449818
5,10,802.3333333333333,923.5882352941177,987.0,987.0,0.8129010469436001,1.0,0.935753024614101
5,10,776.0,776.0,776.0,776.0,1.0,1.0,1.0
5,10,946.0,946.0,946.0,946.0,1.0,1.0,1.0
5,10,661.0,661.0,661.0,661.0,1.0,1.0,1.0
5,10,779.0,779.0,779.0,779.0,1.0,1.0,1.0
5,10,1152.0,1152.0,1152.0,1152.0,1.0,1.0,1.0
5,10,692.2,734.0,734.0,734.0,0.9430517711171663,1.0,1.0
5,10,1449.0,1449.0,1449.0,1449.0,1.0,1.0,1.0
5,10,1058.0,1058.0,1058.0,1058.0,1.0,1.0,1.0
5,10,700.7777777777777,882.0,882.0,882.0,0.7945326278659611,1.0,1.0
5,10,1030.7777777777776,1123.0,1123.0,1123.0,0.9178786979321261,1.0,1.0
5,10,699.0,699.0,699.0,699.0,1.0,1.0,1.0
5,10,910.4444444444445,911.1851851851852,988.0,988.0,0.9215024741340531,1.0,0.922252211725896
5,10,611.0,611.0,611.0,611.0,1.0,1.0,1.0
5,10,610.0,610.0,610.0,610.0,1.0,1.0,1.0
5,10,722.0,913.0,913.0,913.0,0.7907995618838992,1.0,1.0
5,10,949.0,1053.1176470588234,1061.0,1061.0,0.8944392082940622,1.0,0.9925708266341409
5,10,647.3333333333333,662.1538461538461,689.0,689.0,0.9395258829221093,1.0,0.961036061181199
5,10,661.3333333333334,803.0,803.0,803.0,0.8235782482357825,1.0,1.0
5,10,1161.0,1161.0,1161.0,1161.0,1.0,1.0,1.0
5,10,953.0,953.0,953.0,953.0,1.0,1.0,1.0
5,10,913.0,913.0,913.0,913.0,1.0,1.0,1.0
5,10,598.3333333333334,715.0,715.0,729.0,0.8368298368298369,1.0195804195804197,1.0
5,10,810.2222222222223,938.0,938.0,938.0,0.8637763563136698,1.0,1.0
5,10,881.0,881.0,881.0,881.0,1.0,1.0,1.0
5,10,950.0,950.0,950.0,950.0,1.0,1.0,1.0
5,10,822.75,868.0,868.0,868.0,0.9478686635944701,1.0,1.0
5,10,796.5714285714286,882.0,926.0,926.0,0.8602283245911756,1.0,0.9524838012958964
5,10,1028.0,1028.0,1028.0,1028.0,1.0,1.0,1.0
5,10,714.0,714.0,731.0,731.0,0.9767441860465116,1.0,0.9767441860465116
5,10,687.6666666666666,687.6666666666666,697.0,697.0,0.9866092778574844,1.0,0.9866092778574844
5,10,1212.0,1212.0,1212.0,1212.0,1.0,1.0,1.0
5,10,949.0,949.0,949.0,949.0,1.0,1.0,1.0
5,10,701.3333333333334,750.0,750.0,750.0,0.9351111111111111,1.0,1.0
5,10,750.7777777777777,853.9411764705883,911.0,911.0,0.8241248932796682,1.0,0.937366823787693
5,10,740.0,740.0,740.0,740.0,1.0,1.0,1.0
5,10,896.0,998.0,998.0,998.0,0.8977955911823647,1.0,1.0
5,10,812.5,812.5,870.0,870.0,0.9339080459770115,1.0,0.9339080459770115
5,10,650.0,749.5,765.0,765.0,0.8496732026143791,1.0,0.9797385620915032
5,10,1414.0,1414.0,1414.0,1414.0,1.0,1.0,1.0
5,10,706.0,706.0,706.0,706.0,1.0,1.0,1.0
5,10,962.0,962.0,962.0,962.0,1.0,1.0,1.0
5,10,943.1111111111112,1108.0,1108.0,1108.0,0.8511833132771762,1.0,1.0
5,10,856.0,856.0,856.0,856.0,1.0,1.0,1.0
5,10,1051.5555555555554,1116.0,1116.0,1116.0,0.9422540820390282,1.0,1.0
5,10,783.8,843.0,843.0,843.0,0.9297746144721233,1.0,1.0
5,10,741.2222222222223,835.0,835.0,835.0,0.8876912840984698,1.0,1.0
5,10,952.5714285714286,961.0258620689656,1035.0,1035.0,0.9203588681849552,1.0,0.9285274029651841
5,10,1032.2222222222222,1083.9999999999998,1084.0,1084.0,0.9522345223452234,1.0,0.9999999999999998
5,10,798.0,828.0,828.0,828.0,0.9637681159420289,1.0,1.0
5,10,690.0,797.0,797.0,797.0,0.8657465495608532,1.0,1.0
5,10,1308.0,1308.0,1308.0,1308.0,1.0,1.0,1.0
5,10,554.0,633.0,633.0,633.0,0.8751974723538705,1.0,1.0
5,10,660.0000000000001,660.0000000000001,662.0,662.0,0.9969788519637464,1.0,0.9969788519637464
5,10,1052.1999999999998,1071.0,1071.0,1071.0,0.9824463118580764,1.0,1.0
5,10,661.5,788.0,788.0,788.0,0.8394670050761421,1.0,1.0
5,10,872.8888888888889,1004.4705882352943,1046.0,1046.0,0.8345018058211175,1.0,0.9602969294792488
5,10,812.0000000000001,820.0,820.0,820.0,0.9902439024390245,1.0,1.0
5,10,914.0,914.0,914.0,914.0,1.0,1.0,1.0
5,10,1029.5714285714284,1101.0,1179.0,1179.0,0.8732582091360717,1.0,0.9338422391857506
5,10,724.0000000000001,774.0,774.0,774.0,0.9354005167958658,1.0,1.0
5,25,1525.0,1525.0,1525.0,1525.0,1.0,1.0,1.0
5,25,1730.7142857142858,1741.0,1741.0,1741.0,0.9940920653155002,1.0,1.0
5,25,1587.0,1587.0,1587.0,1587.0,1.0,1.0,1.0
5,25,1796.0,1796.0,1796.0,1796.0,1.0,1.0,1.0
5,25,1638.0,1696.0,1696.0,1696.0,0.9658018867924528,1.0,1.0
5,25,1540.0,1540.0,1540.0,1540.0,1.0,1.0,1.0
5,25,1576.0,1576.0,1576.0,1576.0,1.0,1.0,1.0
5,25,1674.0,1674.0,1674.0,1674.0,1.0,1.0,1.0
5,25,1448.8,1502.0,1502.0,1502.0,0.9645805592543275,1.0,1.0
5,25,1373.0,1373.0,1373.0,1373.0,1.0,1.0,1.0
5,25,2366.7000000000003,2590.4615384615386,2628.0,2628.0,0.9005707762557079,1.0,0.9857159583186981
5,25,2224.0,2224.0,2224.0,2224.0,1.0,1.0,1.0
