Facilities,Clients,LP,MFN,OPT,LS,CFL-LP/OPT,Local Search/OPT,MFN-LP/OPT
5,10,721.0,781.5,943.0,943.0,0.7645811240721103,1.0,0.8287380699893956
5,10,981.7142857142857,981.7142857142857,1027.0,1027.0,0.9559048546390319,1.0,0.9559048546390319
5,10,580.4285714285714,580.4285714285714,593.0,593.0,0.978800289086967,1.0,0.978800289086967
5,10,877.0,877.0,877.0,877.0,1.0,1.0,1.0
5,10,1213.0,1213.0,1213.0,1213.0,1.0,1.0,1.0
5,10,892.0,892.0,892.0,892.0,1.0,1.0,1.0
5,10,893.0,893.0,920.0,920.0,0.9706521739130435,1.0,0.9706521739130435
5,10,869.6666666666667,869.6666666666667,871.0,871.0,0.9984691924990433,1.0,0.9984691924990433
5,10,1104.3333333333333,1104.3333333333333,1125.0,1125.0,0.9816296296296295,1.0,0.9816296296296295
5,10,1011.6666666666667,1011.6666666666667,1015.0,1015.0,0.9967159277504106,1.0,0.9967159277504106
5,10,855.7142857142858,855.7142857142858,898.0,898.0,0.9529112313076679,1.0,0.9529112313076679
5,10,1023.0,1023.0,1023.0,1023.0,1.0,1.0,1.0
5,10,1409.6666666666665,1409.6666666666665,1435.0,1435.0,0.9823461091753773,1.0,0.9823461091753773
5,10,707.8,707.8,753.0,753.0,0.9399734395750331,1.0,0.9399734395750331
5,10,963.0,963.0,1011.0,1011.0,0.9525222551928784,1.0,0.9525222551928784
5,10,801.0,801.0,801.0,801.0,1.0,1.0,1.0
5,10,762.0,762.0,762.0,762.0,1.0,1.0,1.0
5,10,797.5,797.5,874.0,874.0,0.9124713958810069,1.0,0.9124713958810069
5,10,710.0,710.0,757.0,757.0,0.9379128137384413,1.0,0.9379128137384413
5,10,791.0,791.0,791.0,791.0,1.0,1.0,1.0
5,10,1009.6666666666667,1009.6666666666667,1067.0,1067.0,0.9462667916276164,1.0,0.9462667916276164
5,10,1008.8571428571429,1008.8571428571429,1038.0,1038.0,0.9719240297274979,1.0,0.9719240297274979
5,10,1079.5,1079.5,1128.0,1128.0,0.9570035460992907,1.0,0.9570035460992907
5,10,817.0,817.0,817.0,817.0,1.0,1.0,1.0
5,10,979.4,979.4,983.0,983.0,0.9963377416073245,1.0,0.9963377416073245
5,10,852.0,852.0,856.0,856.0,0.9953271028037384,1.0,0.9953271028037384
5,10,812.6666666666667,812.6666666666667,853.0,853.0,0.9527159046502541,1.0,0.9527159046502541
5,10,686.0,686.0,686.0,686.0,1.0,1.0,1.0
5,10,721.0,721.0,721.0,721.0,1.0,1.0,1.0
5,10,803.6666666666667,803.6666666666667,1035.0,1035.0,0.7764895330112722,1.0,0.7764895330112722
5,10,1045.7272727272727,1045.7272727272727,1156.0,1156.0,0.9046083674111356,1.0,0.9046083674111356
5,10,1142.3333333333333,1142.3333333333333,1209.0,1209.0,0.9448580093741383,1.0,0.9448580093741383
5,10,1327.8,1327.8,1427.0,1427.0,0.9304835318850736,1.0,0.9304835318850736
5,10,1050.5714285714287,1050.5714285714287,1080.0,1080.0,0.9727513227513228,1.0,0.9727513227513228
5,10,779.0,779.0,779.0,779.0,1.0,1.0,1.0
5,10,592.0,592.0,592.0,592.0,1.0,1.0,1.0
5,10,662.0,662.0,662.0,662.0,1.0,1.0,1.0
5,10,2009.3333333333333,2009.3333333333333,2163.0,2163.0,0.9289566959469872,1.0,0.9289566959469872
5,10,822.1428571428572,822.1428571428572,861.0,861.0,0.9548697527791605,1.0,0.9548697527791605
5,10,967.4000000000001,1002.1428571428572,1141.0,1141.0,0.8478527607361964,1.0,0.8783022411418556
5,10,649.8000000000001,649.8000000000001,679.0,679.0,0.9569955817378499,1.0,0.9569955817378499
5,10,1055.0,1055.0,1174.0,1174.0,0.8986371379897785,1.0,0.8986371379897785
5,10,1075.6666666666665,1075.6666666666665,1137.0,1137.0,0.9460568748167691,1.0,0.9460568748167691
5,10,1269.6,1269.6,1434.0,1434.0,0.8853556485355648,1.0,0.8853556485355648
5,10,690.8,690.8,704.0,704.0,0.98125,1.0,0.98125
5,10,1431.0,1431.0,1562.0,1562.0,0.9161331626120358,1.0,0.9161331626120358
5,10,913.5,913.5,1031.0,1031.0,0.8860329776915616,1.0,0.8860329776915616
5,10,581.0,581.0,594.0,594.0,0.9781144781144782,1.0,0.9781144781144782
5,10,836.1428571428571,836.1428571428571,871.0,871.0,0.9599803181892734,1.0,0.9599803181892734
5,10,764.0,764.0,764.0,764.0,1.0,1.0,1.0
5,10,819.0,819.0,819.0,819.0,1.0,1.0,1.0
5,10,668.5,668.5,671.0,671.0,0.996274217585693,1.0,0.996274217585693
5,10,717.0,717.0,717.0,717.0,1.0,1.0,1.0
5,10,822.0,822.0,822.0,822.0,1.0,1.0,1.0
5,10,1170.2,1180.816091954023,1305.0,1305.0,0.896704980842912,1.0,0.9048399172061479
5,10,1103.4347826086955,1103.4347826086955,1142.0,1142.0,0.966230107363131,1.0,0.966230107363131
5,10,734.5714285714286,862.0,862.0,862.0,0.8521710308253232,1.0,1.0
5,10,955.0,955.0,955.0,955.0,1.0,1.0,1.0
5,10,1315.4,1315.4,1345.0,1431.0,0.9779925650557622,1.0639405204460965,0.9779925650557622
5,10,1049.857142857143,1049.857142857143,1069.0,1069.0,0.9820927435520513,1.0,0.9820927435520513
5,10,786.25,786.25,797.0,797.0,0.9865119196988708,1.0,0.9865119196988708
5,10,748.0,748.0,764.0,764.0,0.9790575916230366,1.0,0.9790575916230366
5,10,1040.0,1040.0,1040.0,1040.0,1.0,1.0,1.0
5,10,1221.6666666666665,1221.6666666666665,1232.0,1232.0,0.991612554112554,1.0,0.991612554112554
5,10,699.4285714285714,870.0,870.0,870.0,0.8039408866995074,1.0,1.0
5,10,856.0,856.0,856.0,856.0,1.0,1.0,1.0
5,10,759.9999999999999,759.9999999999999,808.0,808.0,0.9405940594059404,1.0,0.9405940594059404
5,10,787.6666666666667,787.6666666666667,869.0,869.0,0.9064058304564635,1.0,0.9064058304564635
5,10,731.0,731.0,731.0,731.0,1.0,1.0,1.0
5,10,878.4000000000001,878.4000000000001,945.0,945.0,0.9295238095238096,1.0,0.9295238095238096
5,10,926.0,926.0,932.0,932.0,0.9935622317596566,1.0,0.9935622317596566
5,10,894.0,894.0,894.0,894.0,1.0,1.0,1.0
5,10,1085.5,1085.5,1145.0,1145.0,0.9480349344978166,1.0,0.9480349344978166
5,10,866.3333333333334,866.3333333333334,945.0,945.0,0.9167548500881835,1.0,0.9167548500881835
5,10,1217.142857142857,1217.142857142857,1314.0,1314.0,0.9262883235485975,1.0,0.9262883235485975
5,10,648.0,648.0,648.0,648.0,1.0,1.0,1.0
5,10,671.6666666666667,671.6666666666667,705.0,705.0,0.9527186761229316,1.0,0.9527186761229316
5,10,656.4,656.4,684.0,684.0,0.9596491228070175,1.0,0.9596491228070175
5,10,782.0,782.0,806.0,806.0,0.9702233250620348,1.0,0.9702233250620348
5,10,662.0,662.0,683.0,683.0,0.9692532942898975,1.0,0.9692532942898975
5,10,683.0,683.0,683.0,683.0,1.0,1.0,1.0
5,10,591.0,591.0,591.0,591.0,1.0,1.0,1.0
5,10,866.0,866.0,866.0,866.0,1.0,1.0,1.0
5,10,1113.6,1113.6,1240.0,1240.0,0.8980645161290322,1.0,0.8980645161290322
5,10,777.4285714285714,777.4285714285714,878.0,878.0,0.8854539537910836,1.0,0.8854539537910836
5,10,1209.2,1209.2,1242.0,1242.0,0.9735909822866345,1.0,0.9735909822866345
5,10,1357.0,1357.0,1384.0,1384.0,0.9804913294797688,1.0,0.9804913294797688
5,10,1267.2857142857144,1289.75,1298.0,1298.0,0.9763372220999341,1.0,0.9936440677966102
5,10,1000.0,1000.0,1000.0,1000.0,1.0,1.0,1.0
5,10,780.0,780.0,780.0,780.0,1.0,1.0,1.0
5,10,689.0,689.0,720.0,720.0,0.9569444444444445,1.0,0.9569444444444445
5,10,1187.6666666666667,1187.6666666666667,1266.0,1266.0,0.9381253291205899,1.0,0.9381253291205899
5,10,712.0,712.0,712.0,712.0,1.0,1.0,1.0
5,10,1003.1999999999999,1003.1999999999999,1012.0,1012.0,0.9913043478260869,1.0,0.9913043478260869
5,10,837.0,837.0,837.0,837.0,1.0,1.0,1.0
5,10,872.0,872.0,939.0,939.0,0.9286474973375932,1.0,0.9286474973375932
5,10,893.0,893.0,929.0,929.0,0.961248654467169,1.0,0.961248654467169
5,10,800.0,800.0,800.0,800.0,1.0,1.0,1.0
5,10,1077.0,1077.0,1077.0,1077.0,1.0,1.0,1.0
5,10,942.1428571428573,942.1428571428573,978.0,978.0,0.9633362547472979,1.0,0.9633362547472979
5,25,1653.0,1653.0,1653.0,1653.0,1.0,1.0,1.0
5,25,2290.75,2329.6000000000004,2485.0,2485.0,0.921830985915493,1.0,0.9374647887323945
5,25,1550.0,1550.0,1550.0,1550.0,1.0,1.0,1.0
5,25,1827.4705882352944,1827.4705882352944,1886.0,1886.0,0.9689663776433162,1.0,0.9689663776433162
5,25,1343.0,1343.0,1343.0,1343.0,1.0,1.0,1.0
5,25,1475.0,1475.0,1475.0,1475.0,1.0,1.0,1.0
5,25,1404.6,1408.0,1408.0,1408.0,0.9975852272727272,1.0,1.0
5,25,1078.0,1078.0,1078.0,1078.0,1.0,1.0,1.0
5,25,1267.0,1267.0,1267.0,1267.0,1.0,1.0,1.0
5,25,1955.5,1955.5,1973.0,1973.0,0.9911302584896098,1.0,0.9911302584896098
5,25,1549.6666666666667,1549.6666666666667,1723.0,1723.0,0.8994002708454247,1.0,0.8994002708454247
5,25,1528.0,1528.0,1528.0,1528.0,1.0,1.0,1.0
5,25,1258.0,1258.0,1258.0,1258.0,1.0,1.0,1.0
5,25,2286.285714285714,2286.285714285714,2328.0,2328.0,0.9820814923907707,1.0,0.9820814923907707
5,25,1613.5714285714284,1613.5714285714284,1708.0,1729.0,0.9447139511542321,1.0122950819672132,0.9447139511542321
5,25,1970.6363636363637,1970.6363636363637,2015.0,2015.0,0.9779833070155651,1.0,0.9779833070155651
