Facilities,Clients,LP,MFN,OPT,LS,CFL-LP/OPT,Local Search/OPT,MFN-LP/OPT
5,10,438.0,147.00142667745854,438.0,467.0,1.0,1.0662100456621004,0.3356196956106359
5,10,369.0,150.71836773919287,369.0,391.0,1.0,1.0596205962059622,0.4084508610818235
5,10,508.0,162.19525197259364,508.0,530.0,1.0,1.0433070866141732,0.3192819920720347
5,10,298.0,107.56189615177615,298.0,306.0,1.0,1.0268456375838926,0.36094596024085956
5,10,427.0,150.73119551722442,427.0,436.0,1.0,1.0210772833723654,0.3530004578857715
5,10,460.0,134.95587854429317,460.0,479.0,1.0,1.041304347826087,0.29338234466150687
5,10,495.6666666666667,153.86294070078782,501.0,527.0,0.9893546240851631,1.0518962075848304,0.3071116580854048
5,10,401.0,123.4542128072723,401.0,420.0,1.0,1.0473815461346634,0.30786586734980625
5,10,504.0,152.56431180886852,504.0,519.0,1.0,1.0297619047619047,0.3027069678747391
5,10,388.0,141.5847009460618,388.0,388.0,1.0,1.0,0.3649090230568603
5,10,332.0,127.55176533680752,332.0,332.0,1.0,1.0,0.38419206426749253
5,10,522.3333333333333,136.2203277425608,523.0,525.0,0.998725302740599,1.0038240917782026,0.2604595176722004
5,10,362.0,136.31884687450363,362.0,419.0,1.0,1.1574585635359116,0.37657140020581115
5,10,498.0,160.10666628950833,498.0,498.0,1.0,1.0,0.3214993298986111
5,10,386.0,152.3446072986594,386.0,406.0,1.0,1.0518134715025906,0.3946751484421228
5,10,415.0,150.48820056594937,415.0,458.0,1.0,1.1036144578313254,0.3626221700384322
5,10,330.0,132.75874459557855,330.0,347.0,1.0,1.0515151515151515,0.40229922604720775
5,10,396.0,148.42744505577537,396.0,412.0,1.0,1.0404040404040404,0.3748167804438772
5,10,456.0,167.72207645953682,456.0,468.0,1.0,1.0263157894736843,0.3678115711831948
5,10,419.0,160.97485074256863,419.0,475.0,1.0,1.1336515513126493,0.38418818792975806
5,10,444.0,150.8130892215508,444.0,452.0,1.0,1.018018018018018,0.3396691198683576
5,10,336.0,123.19394733872808,336.0,356.0,1.0,1.0595238095238095,0.3666486527938336
5,10,378.0,119.08263448631487,391.0,442.0,0.9667519181585678,1.1304347826086956,0.30455916748418127
5,10,358.0,142.40769322086106,358.0,366.0,1.0,1.0223463687150838,0.3977868525722376
5,10,459.0,156.8271136183725,459.0,459.0,1.0,1.0,0.3416712714997222
5,10,513.0,180.47656315016405,513.0,513.0,1.0,1.0,0.35180616598472525
5,10,371.0,127.59712361117582,371.0,397.0,1.0,1.0700808625336926,0.34392755690343885
5,10,292.0,115.47256514130665,292.0,310.0,1.0,1.0616438356164384,0.39545399020995425
5,10,425.0,144.55291816373636,425.0,425.0,1.0,1.0,0.3401245133264385
5,10,367.0,163.3262751240644,367.0,367.0,1.0,1.0,0.44503072240889485
5,10,442.0,165.64372018820077,442.0,442.0,1.0,1.0,0.3747595479371058
5,10,428.0,149.0296694137947,428.0,428.0,1.0,1.0,0.3482001621817633
5,10,473.0,148.81646617467027,474.0,474.0,0.9978902953586498,1.0,0.31395878939803856
5,10,323.0,129.2174856158377,323.0,353.0,1.0,1.0928792569659442,0.4000541350335532
5,10,397.0,157.8618530977739,402.0,402.0,0.9875621890547264,1.0,0.39269117686013405
5,10,444.0,151.95969055761904,444.0,475.0,1.0,1.0698198198198199,0.34225155530995277
5,10,342.0,150.7435503407687,342.0,373.0,1.0,1.090643274853801,0.44077061503148746
5,10,365.0,110.53232033987962,365.0,365.0,1.0,1.0,0.3028282749037798
5,10,427.6666666666666,147.34338722759614,431.0,431.0,0.9922660479505024,1.0,0.3418640074886221
5,10,529.1666666666669,172.7207144290154,538.0,561.0,0.983581164807931,1.0427509293680297,0.32104222012828143
5,10,393.00000000000006,155.87026202920745,405.0,405.0,0.9703703703703705,1.0,0.3848648445165616
5,10,339.0,144.18646738564024,339.0,339.0,1.0,1.0,0.42532881234702136
5,10,362.0,154.78988001788335,362.0,390.0,1.0,1.0773480662983426,0.42759635364056175
5,10,460.5,144.9565221762029,461.0,461.0,0.9989154013015185,1.0,0.3144393105774466
5,10,455.0,131.4150241914981,455.0,474.0,1.0,1.0417582417582418,0.28882422899230353
5,10,585.0,153.1070464018103,585.0,609.0,1.0,1.041025641025641,0.26172144684070137
5,10,627.3333333333334,148.54381236235818,633.0,633.0,0.9910479199578727,1.0,0.23466637024069223
5,10,445.0,173.4479376303177,445.0,491.0,1.0,1.1033707865168538,0.38977064636026454
5,10,314.0,138.15055682187793,314.0,345.0,1.0,1.0987261146496816,0.4399699261843246
5,10,366.0,165.19028797325964,366.0,373.0,1.0,1.0191256830601092,0.45133958462639245
5,10,316.0,152.17224145926755,316.0,316.0,1.0,1.0,0.48155772613692266
5,10,386.0,166.19681302871717,386.0,409.0,1.0,1.0595854922279793,0.43056169178424136
5,10,613.0,165.06716126723305,613.0,634.0,1.0,1.034257748776509,0.2692775877116363
5,10,343.0,137.26441463561576,343.0,343.0,1.0,1.0,0.4001877977714745
5,10,377.25,144.38253332552196,378.0,379.0,0.998015873015873,1.0026455026455026,0.38196437387704224
5,10,375.0,161.07828068348593,375.0,388.0,1.0,1.0346666666666666,0.42954208182262915
5,10,374.0,158.0062859015893,374.0,374.0,1.0,1.0,0.42247670027162915
5,10,348.0,134.57213553829587,348.0,348.0,1.0,1.0,0.38670153890314907
5,10,465.0,144.5267512270969,465.0,469.0,1.0,1.0086021505376344,0.31081021769268147
5,10,368.0,130.87570734162796,368.0,368.0,1.0,1.0,0.35564050908051076
5,10,499.0,134.1299152078725,499.0,539.0,1.0,1.0801603206412826,0.26879742526627753
5,10,412.0,134.83202250201794,412.0,438.0,1.0,1.0631067961165048,0.3272621905388785
5,10,375.0,142.3098967334066,375.0,375.0,1.0,1.0,0.3794930579557509
5,10,460.0,132.55217223451135,460.0,511.0,1.0,1.1108695652173912,0.2881568961619812
5,10,373.5,147.61112821788336,374.0,374.0,0.9986631016042781,1.0,0.39468216101038334
5,10,642.0,166.4331636309575,642.0,661.0,1.0,1.029595015576324,0.2592416878986877
5,10,548.3333333333333,167.1231842718858,551.0,577.0,0.9951603145795522,1.0471869328493648,0.3033088643772882
5,10,376.5,159.97537714772488,381.0,399.0,0.9881889763779528,1.047244094488189,0.41988287965282123
5,10,379.0,167.70968596749813,381.0,398.0,0.994750656167979,1.0446194225721785,0.44018290280183237
5,25,930.0,169.3625266326683,930.0,964.0,1.0,1.0365591397849463,0.1821102436910412
5,25,892.8000000000001,153.38992616857198,895.0,896.0,0.9975418994413409,1.0011173184357542,0.17138539236711953
5,25,1028.0,195.7309664756569,1028.0,1028.0,1.0,1.0,0.19039977283624213
5,25,1338.0,759.0719796969868,1360.0,1360.0,0.9838235294117647,1.0,0.5581411615419021
5,25,958.0,118.40367991835724,958.0,958.0,1.0,1.0,0.12359465544713699
5,25,788.0,202.280956393332,788.0,788.0,1.0,1.0,0.256701721311335
5,25,904.0,376.3652417411808,904.0,904.0,1.0,1.0,0.4163332320145805
5,25,1846.8181818181815,184.0804221707553,1863.0,1878.0,0.9913141072561361,1.0080515297906603,0.09880860019900982
5,25,951.0,149.6656495672551,951.0,955.0,1.0,1.0042060988433228,0.15737712888249747
5,25,1039.7999999999995,127.51595442489274,1043.0,1057.0,0.996931927133269,1.0134228187919463,0.12225882495195853
5,25,1168.0,178.97283939678755,1168.0,1168.0,1.0,1.0,0.1532301707164277
5,25,1079.3333333333337,497.6894454760368,1084.0,1084.0,0.9956949569495699,1.0,0.45912310468269074
5,25,898.0,143.30821846376014,898.0,898.0,1.0,1.0,0.15958598938057922
5,25,773.0,165.50251723275957,773.0,773.0,1.0,1.0,0.2141041620087446
5,25,1127.0,190.83240383965276,1127.0,1127.0,1.0,1.0,0.1693277762552376
5,25,944.5,130.54267491417096,950.0,953.0,0.9942105263157894,1.003157894736842,0.1374133420149168
5,25,813.0,784.9166304150408,813.0,813.0,1.0,1.0,0.9654571099816
5,25,800.0,200.4521180926488,800.0,800.0,1.0,1.0,0.250565147615811
5,25,1035.0,141.39271856176217,1035.0,1035.0,1.0,1.0,0.13661132228189582
5,25,796.5,210.43759806823303,805.0,805.0,0.9894409937888199,1.0,0.2614131653021528
5,25,1176.0,173.48171533724684,1176.0,1176.0,1.0,1.0,0.14751846542282895
5,25,1200.0000000000002,253.78441808451169,1200.0,1200.0,1.0000000000000002,1.0,0.21148701507042642
5,25,916.0,148.2352030630936,916.0,916.0,1.0,1.0,0.16182882430468734
5,25,1039.6,305.96139355521643,1041.0,1041.0,0.998655139289145,1.0,0.29391104087917047
5,25,1032.0,162.9679050350996,1042.0,1042.0,0.9904030710172744,1.0,0.15639914110854086
5,25,1013.0,165.2164387708717,1013.0,1013.0,1.0,1.0,0.1630961883226769
5,25,1046.0,140.09534120767466,1057.0,1057.0,0.9895931882686849,1.0,0.13254053094387386
5,25,896.0,370.1627005745056,896.0,896.0,1.0,1.0,0.4131280140340464
5,25,1116.8333333333337,332.23030638197844,1131.0,1131.0,0.987474211612143,1.0,0.29374916567814185
5,25,1076.0,163.67404206274688,1076.0,1084.0,1.0,1.0074349442379182,0.15211342199140043
5,25,950.3333333333331,165.73664888686193,951.0,954.0,0.9992989835261127,1.003154574132492,0.1742761817948075
5,25,908.6,279.157801003944,911.0,911.0,0.9973655323819979,1.0,0.30643007794066296
5,25,866.7142857142857,143.9355010537461,875.0,875.0,0.9905306122448979,1.0,0.16449771548999553
5,25,1064.0,189.08523107382905,1065.0,1065.0,0.9990610328638497,1.0,0.17754481790969864
5,25,988.0,516.9732428992895,988.0,988.0,1.0,1.0,0.5232522701409813
5,25,883.0,147.3250145847569,883.0,883.0,1.0,1.0,0.16684599613222753
5,25,935.0,178.78939543625103,935.0,935.0,1.0,1.0,0.1912186047446535
5,25,908.25,152.99101095087886,909.0,909.0,0.9991749174917491,1.0,0.16830694274024077
5,25,916.0,152.59615071183828,916.0,916.0,1.0,1.0,0.16658968418322956
5,25,1065.25,153.11186017253831,1086.0,1086.0,0.9808931860036832,1.0,0.14098697990104817
5,25,887.6666666666666,140.85695239627583,917.0,917.0,0.9680116321337695,1.0,0.153606273060279
5,25,1099.2857142857142,174.2536343548417,1103.0,1103.0,0.9966325605491516,1.0,0.15798153613312937
5,25,1146.0,145.79846211737515,1146.0,1146.0,1.0,1.0,0.12722378893313713
5,25,1054.0,167.9275437384077,1054.0,1122.0,1.0,1.064516129032258,0.15932404529260694
5,25,965.0,165.3711741971072,965.0,965.0,1.0,1.0,0.17136909243223544
5,25,861.0,198.61983095008847,861.0,861.0,1.0,1.0,0.2306850533682793
5,25,966.0,137.99794611495787,966.0,966.0,1.0,1.0,0.142855016682151
5,25,1046.0,147.63443551799267,1046.0,1046.0,1.0,1.0,0.14114190776098726
5,25,974.1666666666664,185.63385345299324,975.0,985.0,0.9991452991452989,1.0102564102564102,0.19039369584922383
5,25,1097.0,185.24438477242805,1097.0,1097.0,1.0,1.0,0.16886452577249594
5,25,910.625,149.0921580531162,911.0,940.0,0.9995883644346871,1.031833150384193,0.16365769270374994
5,25,1179.0,157.21647852827925,1179.0,1179.0,1.0,1.0,0.13334731003246755
5,25,1028.6666666666667,162.6068899307083,1032.0,1032.0,0.9967700258397933,1.0,0.15756481582432974
5,25,966.0,148.53828997021228,986.0,992.0,0.9797160243407708,1.0060851926977687,0.1506473529109658
5,25,996.3333333333331,187.4128107356111,998.0,1001.0,0.9983299933199731,1.003006012024048,0.18778838751063234
5,25,914.0,153.71445715242945,914.0,914.0,1.0,1.0,0.16817774305517444
5,25,954.0,173.7790622239622,954.0,954.0,1.0,1.0,0.1821583461467109
5,25,902.0,153.10950600986342,902.0,915.0,1.0,1.0144124168514412,0.1697444634255692
5,25,1061.0,176.20436004032186,1061.0,1104.0,1.0,1.0405278039585297,0.16607385489191503
5,25,983.0,363.6376406543114,983.0,983.0,1.0,1.0,0.3699263892719343
5,25,944.0,205.79403837644188,944.0,1005.0,1.0,1.0646186440677967,0.21800215929707825
5,25,1005.0,173.52595330829294,1005.0,1039.0,1.0,1.0338308457711443,0.17266264010775417
5,25,869.0,196.52914968632732,869.0,869.0,1.0,1.0,0.22615552322937552
5,25,1095.0,141.7902661234745,1116.0,1116.0,0.9811827956989247,1.0,0.1270522097880596
5,25,1117.0,166.72675137328733,1117.0,1117.0,1.0,1.0,0.14926298242908445
5,25,794.0,538.1189800725948,794.0,794.0,1.0,1.0,0.6777317129377768
5,25,941.0,138.40043212037665,941.0,941.0,1.0,1.0,0.1470780362596989
5,25,826.0,170.2201134269701,826.0,826.0,1.0,1.0,0.20607761916098075
5,25,1142.0,161.09751173369713,1142.0,1142.0,1.0,1.0,0.14106612235875404
5,25,939.0,158.83057883715082,944.0,960.0,0.9947033898305084,1.0169491525423728,0.1682527318190157
5,25,1168.0,830.2651686817723,1168.0,1168.0,1.0,1.0,0.7108434663371338
5,25,1012.25,167.09245100184688,1015.0,1015.0,0.9972906403940887,1.0,0.16462310443531714
5,25,1115.0,196.50502270038865,1115.0,1115.0,1.0,1.0,0.17623768852052793
5,25,899.0,202.60858321419067,899.0,899.0,1.0,1.0,0.22537106030499518
5,25,1116.0,186.59294667356264,1117.0,1120.0,0.999104744852283,1.0026857654431514,0.16704829603720917
5,25,866.0,202.5958242524061,866.0,866.0,1.0,1.0,0.23394436980647354
5,25,826.0,162.62450596937876,826.0,826.0,1.0,1.0,0.1968819684859307
5,25,1166.0,163.17745076613394,1166.0,1166.0,1.0,1.0,0.13994635571709602
5,25,1231.0,160.3271961608812,1231.0,1231.0,1.0,1.0,0.130241426613226
5,25,888.0,152.38463439309518,888.0,888.0,1.0,1.0,0.1716043180102423
5,25,1013.777777777778,165.5269873283215,1026.0,1055.0,0.988087502707386,1.0282651072124755,0.1613323463239001
5,25,842.0,141.33160209271185,844.0,844.0,0.9976303317535545,1.0,0.16745450484918464
